dstPort,Unique Ports,Auth Failures,Origin,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
443,1,0.0,Nowhere,0x0010,0x0018,0.045378816,0.000129171,64256,64128,0.2586760115494106,0.2586934162505087,0.0,783,0.0,2962,1.2353315361,12.963430572629989,0.000218498924101,3.509310337373782,0.0147817091062245,99282.27777777778,1355015.566666667,69.40277389870688,222.08829785106172,0.0085253713,TCP,2015.0,7917.0,10.0,10.0,20.0,2683.0,8585.0,38.65839719772339,38.65579628944397,268.3,325.65835028617204,106053.36111111112,858.5,1163.4493972665937,1353614.5,0.0001392364501953,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Cross-Site Request Forgery
443,1,0.0,Nowhere,0x0010,0x0010,0.0,8.7493e-05,251,501,0.0,11428.621253405994,0.0,66,0.0,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754289.0027247956,0.0,TCP,0.0,0.0,1.0,1.0,2.0,66.0,66.0,0.0,8.749961853027344e-05,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cross-Site Request Forgery
443,1,0.0,Nowhere,0x0010,0x0018,4e-08,6.3559e-05,251,501,0.0820589213865136,0.0824852712686466,0.0,783,0.0,2962,1.0410749811666666,4.231666381474949,4.3724190137533e-05,2.035560528501725,0.006612426947614,100582.6304347826,1084193.1742424243,20.12495047004246,162.09043181549632,0.0062885505,TCP,4302.0,22789.0,24.0,12.0,36.0,5886.0,23581.0,292.4727694988251,145.48051810264587,245.25,302.388417338878,91438.75494071146,1965.0833333333333,1041.2459720173829,1084193.1742424243,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,Cross-Site Request Forgery
34119,2,0.0,Nowhere,0x0004,0x0011,3.5837e-05,0.000430012,0,251,9.42158068468857,6.1992773946003386,0.0,90,0.0,90,6.206325e-05,3.7172841762142845e-09,0.0017009952086908,5.703177758221727e-05,0.0412431231684853,144.0,144.0,621.8243251894456,446.3479724112244,0.05304653875,TCP,24.0,24.0,4.0,4.0,8.0,264.0,288.0,0.4245572090148926,0.6452364921569824,66.0,6.928203230275509,48.0,72.0,12.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cross-Site Request Forgery
443,1,0.0,Nowhere,0x0010,0x0018,4e-08,5.4392e-05,245,501,0.2918338615408356,0.2972528868035999,0.0,783,0.0,2962,0.846497607875,5.038760649282729,6.767550671175767e-05,2.173439235107013,0.0082265124270104,110161.92857142857,1326675.6666666667,72.0100053352012,583.9532961256721,0.0070568075,TCP,1434.0,7594.0,8.0,4.0,12.0,1974.0,7858.0,27.41285729408264,13.456555604934692,246.75,270.28159918341254,73052.14285714286,1964.5,1151.8140764318982,1326675.6666666667,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Cross-Site Request Forgery
443,1,0.0,Nowhere,0x0010,0x0018,4e-08,3.3281e-05,245,501,0.1841981694487214,0.1863030085866181,0.0,783,0.0,2962,0.6496805391875,1.7536733709304435,0.0001205746040383,1.303407487353386,0.0109806467950811,102817.8,1137438.267857143,45.17460105729892,365.9689724923379,0.00934849875,TCP,2868.0,15187.0,16.0,8.0,24.0,3924.0,15715.0,86.86296963691711,42.94079875946045,245.25,296.8662036290808,88129.54285714286,1964.375,1066.5075095174636,1137438.267857143,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Cross-Site Request Forgery
443,1,0.0,Nowhere,0x0010,0x0018,5e-08,3.4263e-05,245,501,13.576523444833592,98.28710690350096,0.0,783,0.0,2962,0.022004372,0.0016600614775189,5.1238131389568e-05,0.0381123837201118,0.0071580815439311,128522.25,1988018.0,3329.642374845438,193134.16506537935,0.005095791,TCP,717.0,3798.0,4.0,2.0,6.0,981.0,3930.0,0.294626235961914,0.0203485488891601,245.25,0.0,0.0,1965.0,1409.9709216859758,1988018.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Cross-Site Request Forgery
59166,1,0.0,Nowhere,0x0004,0x0011,4.9463e-05,4.91e-07,0,251,9.390656816968228,5.912762761598586,0.0,90,0.0,90,0.000176091,6.08369250737143e-08,0.0017705622796499,0.0002307212808552,0.0420780498555946,144.0,144.0,619.7833499199031,425.7189188350982,0.0530029385,TCP,24.0,24.0,4.0,4.0,8.0,264.0,288.0,0.4259552955627441,0.6765027046203613,66.0,6.928203230275509,48.0,72.0,12.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cross-Site Request Forgery
443,1,0.0,Nowhere,0x0010,0x0018,0.000156802,4.5265e-05,248,501,13.00046415794078,70.96961082910322,0.0,783,0.0,2962,0.0221380062499999,0.0016723674804786,9.8316711470408e-05,0.0382533860647503,0.0099154783782936,128522.25,1990012.5,3188.3638347349765,139419.80047377327,0.007056567,TCP,717.0,3797.0,4.0,2.0,6.0,981.0,3929.0,0.3076813220977783,0.0281810760498046,245.25,0.0,0.0,1964.5,1410.6780284671622,1990012.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Cross-Site Request Forgery
